V/SA,0,10,20,30,40,50,60,70,80,90,100,120,140,160,180,200,220,240,270,300
9,0.0000,1.0936,2.1948,3.3036,4.4201,5.5445,6.6767,7.8169,8.9652,10.1216,11.2863,13.6406,16.0289,18.4520,20.9106,23.4055,25.9374,28.5073,32.4352,36.4533
20,0.0000,2.2137,4.4427,6.6872,8.9474,11.2233,13.5152,15.8233,18.1476,20.4885,22.8460,27.6117,32.4463,37.3512,42.3279,47.3781,52.5034,57.7054,65.6563,73.7900
30,0.0000,2.9775,5.9757,8.9947,12.0347,15.0960,18.1787,21.2832,24.4096,27.5582,30.7291,37.1393,43.6420,50.2393,56.9333,63.7261,70.6199,77.6170,88.3113,99.2516
40,0.0000,3.4870,6.9981,10.5336,14.0937,17.6787,21.2889,24.9245,28.5858,32.2730,35.9865,43.4934,51.1086,58.8347,66.6739,74.6289,82.7021,90.8963,103.4203,116.2323
60,0.0000,3.9970,8.0216,12.0742,16.1550,20.2643,24.4025,28.5698,32.7666,36.9932,41.2498,49.8546,58.5836,67.4397,76.4254,85.5439,94.7979,104.1905,118.5463,133.2321
100,0.0000,3.9992,8.0262,12.0811,16.1642,20.2759,24.4165,28.5862,32.7854,37.0143,41.2734,49.8831,58.6171,67.4782,76.4691,85.5928,94.8520,104.2501,118.6141,133.3083
